href,ticker,fair_value
/stocks/us/food-beverage-tobacco/nyse-ko/coca-cola,KO, ($80.39)
/stocks/us/food-beverage-tobacco/nasdaq-pep/pepsico,PEP, ($195.78)
/stocks/us/food-beverage-tobacco/nyse-pm/philip-morris-international,PM, ($181.26)
/stocks/us/food-beverage-tobacco/nasdaq-mdlz/mondelez-international,MDLZ, ($91.96)
/stocks/us/food-beverage-tobacco/nyse-mo/altria-group,MO, ($89.64)
/stocks/us/food-beverage-tobacco/nasdaq-kdp/keurig-dr-pepper,KDP, ($61.62)
/stocks/us/food-beverage-tobacco/nasdaq-mnst/monster-beverage,MNST, ($98.74)
/stocks/us/food-beverage-tobacco/nyse-adm/archer-daniels-midland,ADM, ($85.17)
/stocks/us/food-beverage-tobacco/nyse-gis/general-mills,GIS, ($123.27)
/stocks/us/food-beverage-tobacco/nyse-stz/constellation-brands,STZ, ($399.3)
/stocks/us/food-beverage-tobacco/nasdaq-khc/kraft-heinz,KHC, ($94.13)
/stocks/us/food-beverage-tobacco/nyse-hsy/hershey,HSY, ($196.37)
/stocks/us/food-beverage-tobacco/nyse-bf.b/brown-forman,BF.B, ($61.69)
/stocks/us/food-beverage-tobacco/nyse-hrl/hormel-foods,HRL, ($56.09)
/stocks/us/food-beverage-tobacco/nyse-tsn/tyson-foods,TSN, ($129.78)
/stocks/us/food-beverage-tobacco/nyse-k/kellogg,K, ($131.33)
/stocks/us/food-beverage-tobacco/nyse-mkc/mccormick,MKC, ($91.57)
/stocks/us/food-beverage-tobacco/nyse-cag/conagra-brands,CAG, ($73.91)
/stocks/us/food-beverage-tobacco/nyse-bg/bunge,BG, ($59.27)
/stocks/us/food-beverage-tobacco/nyse-sjm/j-m-smucker,SJM, ($258.87)
/stocks/us/food-beverage-tobacco/nyse-cpb/campbell-soup,CPB, ($82.58)
/stocks/us/food-beverage-tobacco/nyse-kof/coca-cola-femsa-de,KOF, ($94.45)
/stocks/us/food-beverage-tobacco/nyse-dar/darling-ingredients,DAR, ($204.2)
/stocks/us/food-beverage-tobacco/nyse-lw/lamb-weston-holdings,LW, ($26.55)
/stocks/us/food-beverage-tobacco/nyse-tap/molson-coors-beverage,TAP, ($123.19)
/stocks/us/food-beverage-tobacco/nasdaq-celh/celsius-holdings,CELH, ($105.75)
/stocks/us/food-beverage-tobacco/nyse-flo/flowers-foods,FLO, ($59.23)
/stocks/us/food-beverage-tobacco/nyse-ingr/ingredion,INGR, ($1214.68)
/stocks/us/food-beverage-tobacco/nasdaq-ppc/pilgrims-pride,PPC, ($183.49)
