href,ticker,fair_value
/stocks/us/semiconductors/nasdaq-nvda/nvidia,NVDA, ($157.62)
/stocks/us/semiconductors/nasdaq-avgo/broadcom,AVGO, ($544.88)
/stocks/us/semiconductors/nasdaq-txn/texas-instruments,TXN, ($180.33)
/stocks/us/semiconductors/nasdaq-qcom/qualcomm,QCOM, ($170.01)
/stocks/us/semiconductors/nasdaq-intc/intel,INTC, ($21.72)
/stocks/us/semiconductors/nasdaq-amd/advanced-micro-devices,AMD, ($126.95)
/stocks/us/semiconductors/nasdaq-amat/applied-materials,AMAT, ($123.3)
/stocks/us/semiconductors/nasdaq-adi/analog-devices,ADI, ($178.94)
/stocks/us/semiconductors/nasdaq-lrcx/lam-research,LRCX, ($704.81)
/stocks/us/semiconductors/nasdaq-mu/micron-technology,MU, ($38.26)
/stocks/us/semiconductors/nasdaq-klac/kla,KLAC, ($439.43)
/stocks/us/semiconductors/nasdaq-nxpi/nxp-semiconductors,NXPI, ($226.6)
/stocks/us/semiconductors/nasdaq-mchp/microchip-technology,MCHP, ($80.93)
/stocks/us/semiconductors/nasdaq-enph/enphase-energy,ENPH, ($145.77)
/stocks/us/semiconductors/nasdaq-mrvl/marvell-technology,MRVL, ($61.51)
/stocks/us/semiconductors/nasdaq-gfs/globalfoundries,GFS, ($40.61)
/stocks/us/semiconductors/nasdaq-on/on-semiconductor,ON, ($55.55)
/stocks/us/semiconductors/nasdaq-mpwr/monolithic-power-systems,MPWR, ($388.86)
/stocks/us/semiconductors/nasdaq-sedg/solaredge-technologies,SEDG, ($181.6)
/stocks/us/semiconductors/nasdaq-fslr/first-solar,FSLR, ($496.84)
/stocks/us/semiconductors/nasdaq-swks/skyworks-solutions,SWKS, ($185.34)
/stocks/us/semiconductors/nasdaq-ter/teradyne,TER, ($160.11)
/stocks/us/semiconductors/nasdaq-entg/entegris,ENTG, ($67.95)
/stocks/us/semiconductors/nyse-wolf/wolfspeed,WOLF, ($378.58)
/stocks/us/semiconductors/nasdaq-qrvo/qorvo,QRVO, ($189.64)
/stocks/us/semiconductors/nasdaq-lscc/lattice-semiconductor,LSCC, ($301.76)
/stocks/us/semiconductors/nasdaq-amkr/amkor-technology,AMKR, ($18.64)
/stocks/us/semiconductors/nasdaq-algm/allegro-microsystems,ALGM, ($23.77)
/stocks/us/semiconductors/nasdaq-mksi/mks-instruments,MKSI, ($146.1)
/stocks/us/semiconductors/nasdaq-oled/universal-display,OLED, ($183.32)
/stocks/us/semiconductors/nasdaq-ccmp/cmc-materials,CCMP, ($138.04)
/stocks/us/semiconductors/nasdaq-mtsi/macom-technology-solutions-holdings,MTSI, ($34.22)
/stocks/us/semiconductors/nasdaq-slab/silicon-laboratories,SLAB, ($60.75)
/stocks/us/semiconductors/nasdaq-tsem/tower-semiconductor,TSEM, ($104)
/stocks/us/semiconductors/nasdaq-powi/power-integrations,POWI, ($50.92)
/stocks/us/semiconductors/nyse-dq/daqo-new-energy,DQ, ($221.03)
/stocks/us/semiconductors/nyse-onto/onto-innovation,ONTO, ($27.64)
/stocks/us/semiconductors/nasdaq-syna/synaptics,SYNA, ($112.51)
/stocks/us/semiconductors/nasdaq-crus/cirrus-logic,CRUS, ($27.48)
/stocks/us/semiconductors/nasdaq-rmbs/rambus,RMBS, ($28.04)
/stocks/us/semiconductors/nasdaq-diod/diodes,DIOD, ($108.36)
/stocks/us/semiconductors/nasdaq-pi/impinj,PI,
/stocks/us/semiconductors/nasdaq-mxl/maxlinear,MXL, ($50.36)
/stocks/us/semiconductors/nasdaq-klic/kulicke-and-soffa-industries,KLIC, ($306.89)
/stocks/us/semiconductors/nyse-jks/jinkosolar-holding,JKS, ($3.98)
/stocks/us/semiconductors/nasdaq-nvmi/nova,NVMI, ($18.06)
/stocks/us/semiconductors/nasdaq-acls/axcelis-technologies,ACLS, ($83.64)
/stocks/us/semiconductors/nasdaq-csiq/canadian-solar,CSIQ,
/stocks/us/semiconductors/nasdaq-amba/ambarella,AMBA, ($122.15)
/stocks/us/semiconductors/nasdaq-sitm/sitime,SITM, ($26.12)
/stocks/us/semiconductors/nasdaq-crdo/credo-technology-group-holding,CRDO, ($16.89)
/stocks/us/semiconductors/nasdaq-simo/silicon-motion-technology,SIMO, ($89.85)
/stocks/us/semiconductors/nasdaq-smtc/semtech,SMTC, ($93.62)
/stocks/us/semiconductors/nasdaq-cohu/cohu,COHU, ($51.23)
/stocks/us/semiconductors/nasdaq-form/formfactor,FORM, ($64.15)
/stocks/us/semiconductors/nasdaq-uctt/ultra-clean-holdings,UCTT, ($9.45)
