Philip Anderson
Lucy Guo
F Carter Leake
George D. Shapiro
TomGentile
Sanjay Kapoor
Ghassan Awad
Ronald Epstein 
Larry A. Lawson
Michael Ciarmoli
Michael F. Ciarmoli
Thomas C. Gentile III
Mayur Manmohansingh
Audrey Preston
Myles A. Walton
Jason Gursky
Ron Epstein
Amit Mehrotra
Sheila Kahyaoglu
John D. Godyn
Aaron Hunt
Joseph Nadol
Doug Stuart Harned
Coleen Tabor
Krishna Sinha
Michael Ciarmoli 
Unidentified Analyst
Asher Carey
Tom Gentile 
Kristine Liwag 
Doug Harned 
Unidentified Company Representative
Michael Conlon
Unknown Speaker
Kenneth George Herbert
Ken Herbert
Jeff Turner
Operator
Caius Slater
Kenneth Herbert
Robert Spingarn
Ryan Avey
Hunter K. Keay
Josh Sullivan
Carter Copeland
David Strauss
Mariana Perez Mora
Myles Walton 
Robert Stallard
Sam Pearlstein
Michael Sang
F. Leake
Ronald Epstein
David Strauss 
Steven Cahall
Rob Spingarn
Finbar Thomas Sheehy, CFA
Kristine Tan Liwag
Samuel J. Pearlstein
F. Carter Leake
Sam Marnick 
Howard Rubel
Thomas C. Gentile
Jon Raviv
Peter Arment
Samantha Marnick
Mark Suchinksi
Seth Seifman 
Hunter Keay
Douglas Stuart Harned
Myles Alexander Walton
Phil Anderson
Ronald Jay Epstein
Michael Callahan
Michail Paraskevopoulos
Christine Lewald
Louis Raffetto
George Shapiro 
Myles Walton
Ronald J. Epstein
Howard Alan Rubel
Howard A. Rubel
Finbar T. Sheehy
Robert Spingarn 
Ghassan Awwad
Thomas Gentile 
Rajeev Lalwani
George Shapiro
Julie Yates
Cai von Rumohr 
Larry Lawson
Ken Herbert 
Richard Tobie Safran
Elizabeth Grenfell
Cai Von Rumohr
Jason M. Gursky
Jeffrey Turner
Mark Suchinski
Kristine Liwag
Kailash Krishnaswamy
Douglas S. Harned
Kevin Ciabattoni
Mark Suchinski 
Jeffrey L. Turner
Troy J. Lahr
Gary S. Liebowitz
Noah Poponak 
Joseph B. Nadol
Troy Lahr
Douglas Harned
Noah Poponak
Richard T. Safran
Cai von Rumohr
Sheila Kahyaoglu 
Jose Garcia
Philip D. Anderson
Jonathan Raviv
Robert M. Spingarn
Peter J. Arment
Thomas Gentile
Finbar Thomas Sheehy
Unknown Executive
Doug Harned
Tom Gentile
Joe Nadol
John Godyn
Michael Maugeri
Carter Leake
Seth Seifman
Hunter K. Keay, CFA
Carl Oshlager
Sam Marnick
Samuel Pearlstein
Finbar Sheehy
Eric Hugel
Greg Konrad
David E. Strauss
Cai von Rumohr, CFA
Seth M. Seifman
