Michael T. Duke
Oliver Chen 
Christopher Horvers
Doug Mcmillon
Robby Ohmes
Simeon Gutman 
Paul Trussell
Kelly Bania 
Steve Schmitt
Kelly Bania
Pauline Mohler
Oliver Chen
Doug McMillon
Stephanie Wissink
Mike Duke
Steve Schmitt.
Steph Wissink 
Unidentified Speaker
Jeffrey A. Davis
Rosalind Gates Brewer
Karen Short
Carol Schumacher
Matt Fassler
Unidentified Analyst
Paul Lejuez
Greg Melich
Unidentified Company Representative
Kath McLay
Charles M. Holley
End of QA
Michael Baker
Karen Short 
Chris Horvers
Operator
Neil M. Ashe
Chuck Grom
Beth Reed
Matthew J. Fassler
Simeon Ari Gutman
Ben Bienvenu
Charles Grom
Robert Moskow
Rosalind Brewer
Peter Benedict 
Dan Binder
Scott A. Mushkin
Kary Brunner
Chuck Grom 
Jeff Davis
Carol A. Schumacher
Kalyan Krishnamurthy
Daniel Thomas Binder
Rupesh Parikh
Judith McKenna
Brian Cornell
Ben Bienvenu 
Neil Ashe
John David Rainey
Robert Drbul
Michael Louis Lasser
William Simon
Jeffery Davis
Ed Yruma
Claire BabineauxFontenot
Paul Lashway
Brett Biggs 
Greg Foran
Douglas McMillon
Michael Terry Duke
Kate McShane 
Dave Cheesewright
Brett Biggs
Scot Ciccarelli
Edward Kelly
Robbie Ohmes
Sameer Nigam
Scot Ciccarelli 
Guilherme Loureiro
Rosalind G. Brewer
C. Douglas McMillon
Doug McMillon 
William S. Simon
Bob Drbul 
Simeon Gutman
Joe Feldman
Bobby Griffin
Christopher Horvers 
Robert Ohmes
Kate McShane
Steph Wissink
Joseph Isaac Feldman
David Cheesewright
Peter Benedict
Edward Yruma
Bob Drbul
Seth Sigman
Bill Simon
Suresh Kumar
Tom Schoewe
Edward J. Kelly
Michael Lasser
Eduardo CastroWright
Marc Lore
Michael Lasser 
Charles Holley
Kathryn McLay
John Furner 
John Furner
Scott Mushkin
