David Tarantino
Clifford Burrows
Greg Smith
Michael Conway 
Sara Trilling
Michael Tamas
Joshua C. Long
Andrew Charles
Matthew Robert McGinley
Peter Saleh
Brady Brewer 
Gregory R. Francfort
Sara Harkavy Senatore
Matthew Difrisco
Greg Badishkanian
Jeffrey Hans
John Culver
John Ivankoe 
John William Ivankoe
John W. Ivankoe
Michelle Gass
Jeffery J. Hansberry
Matthew DeFrisco
David E. Tarantino
Scott Maw
Thomas Shaw
Joseph Buckley
Rossann Williams
Gregory Badishkanian
Matthew DiFrisco
Brett Levy
R.J. Hottovy
Karen Short
Chris O'Cull
Unidentified Analyst
Phillip Juhan
Andy Barish
Jason West
Mike Conway
Unknown Speaker
Howard Schultz 
Frank Britt
Eric Gonzalez
Kevin Johnson 
Matthew J. DiFrisco
Operator
Dennis Geiger 
Joseph T. Buckley
Brady Brewer
Matt Ryan
Matt DiFrisco
Sarah Senatore
Andrew Barish
Matthew Ryan
Rosalind Brewer
Gregory Francfort
Rachel Ruggeri
Nicole Regan
Andrew Marc Barish
Katherine Fogertey
Joseph Terrence Buckley
Jeff Hansberry
Jeffrey Andrew Bernstein
Sara H. Senatore
Scott Harlan Maw
Bonnie Herzog
Will Slabaugh
Patrick Grismer
David Tarantino 
JoAnn DeGrande
Belinda Wong 
Nicole Miller
Gregory Robert Badishkanian
Nick Setyan
Michael Kelter
Peter Saleh 
Roz Brewer
Gregory Paul Francfort
Pat Grismer
Jeff Bernstein
Dennis Geiger
Jeffrey Bernstein
Sharon Zackfia
Howard Schultz
Gregory R. Badishkanian
Jared Garber
John Glass 
Chris Carril
Nicole M. Miller Regan
Leo Tsoi
John Culver 
Jeffrey A. Bernstein
Rachel Ruggeri 
Durga Doraisamy
Stephanie MunYee Ng
Michael Conway
Sharon M. Zackfia
Rosalind G. Brewer
Keith R. Siegner
Kevin Johnson
John Winchester Culver
Keith Siegner
Nicole Miller Regan
Adam B. Brotman
Kevin R. Johnson
Andrew Barish 
David Palmer
John S. Glass
Mark Astrachan
David Palmer 
Mitchell Speiser
Joe Buckley
Brian Bittner
Sharon Zackfia 
Howard S. Schultz
Lauren Silberman
Tiffany Willis
John Ivankoe
Howard D. Schultz
Matthew James DiFrisco
Jon Tower
Sara Senatore
Karen Holthouse
Adam Brotman
Tom Shaw
John Glass
Karen F. Short
Jeffrey Bernstein 
Cliff Burrows
David S. Palmer
Troy Alstead
Belinda Wong
Danilo Gargiulo
Diane Geissler
John Tower
