Jean Ann Salisbury
Dave Winans
Jeremy Tornet
Tom Bannigan
Dax Sanders
Paul Jacob
Chase Mulvehill 
Corey Goldman
Carl Kirst
Neal Ding
Keith Stanley
John Edward
Kimberly Allen Dang
Thomas A. Bannigan
Theodore Durbin
Steven Kean
Jeff Armstrong
Michael Blum
Bradley Olsen
Thomas Martin
David Michaels
Douglas Christopher
Jeffrey Campbell
Mirek Zak
Robert Kwan
Brandon Blossman
Unidentified Analyst
Unidentified Company Representative
Tim Bradely
Jeremy B. Tonet
End of QA
Peter Levinson
Steven J. Kean
Operator
Unidentified Company Speaker
Ujjwal Pradhan
David Michels
David Conover
Brian Gamble
Tim Bradley
John Sult
Mark Reichman
Linda Ezergailis
Mark Leland
John D. Edwards
Pearce Hammond
Kristina Kazarian
Thomas A. Martin
Faisel Khan
John K. Tysseland
Rich Kinder
Jean Salisbury
Tom Abrams
Rick Kinder Chairman and Chief Executive Officer
Craig Shere
Stephen J. Maresca
Jeremy Tonet 
Richard D. Kinder
Ted Durbin
Q Shneur Gershuni
Becca Followill
Shneur Gershuni
Ron McClain
Christine Chou
Adam Steinberg
Spiro Dounis
Richard Cheng
Ronald G. McClain
Jeremy Tonet
Michael Lapides 
Keith Stanley 
Dax A. Sanders
Ross Payne
Douglas Foshee
Marc Solecitto
Christine Cho
Michael Lapides
Richard Tim Bradley
John Schlosser
Rebecca Followill
KimDang
Ian Anderson
Gabriel Moreen
Curt N. Launer
Kevin Grahmann
Brent Smolik
Brian Reynolds 
Brian J. Zarahn
Chase Mulvehill
Richard Kinder
Timm Schneider
Thomas Martin 
Gabe Moreen
Michael Cusimano
James P. Wuerth
Stephen Maresca
Unknown Analyst
Kim Dang
Kevin Kaiser
Brian Zarahn
John Edwards
Matthew Russell
Tom Martin
Jesse Arenivas
Harry Mateer
Sunil Sibal
Darren Horowitz
Becca Followill 
Dennis Coleman
Brian Zarahn Barclays Capital
Rick Kinder
Kimberly Dang
David Michels 
Steve Kean 
Tristan Richardson
David D. Kinder
Jim Wuerth
Steve Kean
Bruce Connery
Unknown Executive
Robert Catellier
Chris Sighinolfi
Anthony Ashley
Danilo Juvane
Brad Olsen
Colton Bean
Brian Reynolds
Jeremy Schmidt
James Yardley
Eric Beck
