Samantha Hoh 
Mike Urban
Scott A. Gruber
Robert Jensen
Jeremy D. Thigpen
Ian MacPherson
Haithum Nokta
Mark Mey
Blake Hancock
Lee Cooperman
Dmitry Baron
Cale Dillingham
Gregory L. Cauthen
Alison Johnson
Kurt Hallead
Thad Vayda
Eirik Rohmesmo
Gregory Lewis
K. Blake Hancock
David Batty
Sasha Sanwal
Cole Sullivan
Martin Huseby Karlsen
Unidentified Analyst
Ole Slorer
Robin E. Shoemaker
Vivek Pal
Esa Ikheimonen
Gregory Robert Lewis
Shyam Kumar
Angeline M. Sedita
Angie Sedita
Karl Blunden
Operator
Aaron Rosenthal 
Greg Lewis
Geoff Kieburtz
Anders Bergland
Connor Lynagh
Fredrik Stene
Vaibhav Vaishnav
Ricardo Rosa
Mabel Yu
Doug Becker
Gregory S. Panagos
J.B. Lowe
Brad Alexander
Angeline Sedita
Bernd Pomrehn
Steven L. Newman
Darren Gacicia
Douglas Clifford
Byron K. Pope
Scott Burk
Judson E. Bailey
Rob MacKenzie
Jason Gilbert
Justin Sander
R. Thaddeus Vayda
Roddie Mackenzie 
Jeremy Thigpen
Greg Cauthen
Karl Blunden 
Mey Lovell MarkAnthony
David C. Smith
Douglas L. Becker
Lucas unintelligible
Waqar Syed
Bradley Alexander
Ricardo H. Rosa
Justin RobinsonHowe
Hugh Wynne
Andreas Stubsrud
Ross Payne
Mark Mey 
Mark Lacey
Roger Read
Vebs Vaishnav
Keelan Adamson
Eduardo B. Royes
Collin Gerry
Matthew D. Conlan
Mark Brown
Judd Bailey
Sean Meakim
Angie M. Sedita
MarkAnthony Lovell Mey
Esa Ikaheimonen
Chase Mulvehill
Mark L. Mey
Matt Conlan
David Wilson
Terry Bonno
Lexington May
Jacob Ng
Ole H. Slorer
Unknown Analyst
Thomas Johnson 
Timna B. Tanners
Michael Urban
Matthew Russell
Lucas Doll ph
Mike Sabella
Ian Macpherson
Harry Mateer
Chris Snyder
Samantha Hoh
Ian Charles Strachan
Robert MacKenzie
Joe Hill
Byron Pope
Cale Dillingham 
Daniel J. Boyd
Taylor Zurcher
Justin Howe
Tenny Bono
Arun Jayaram
Colin Davies
Eirik Rhmesmo
James West
Steven Newman
Scott Gruber
Ihab Toma
Robin Shoemaker
Thomas Johnson
Roddie Mackenzie
J. David Anderson
Dominick Frantius
Sean C. Meakim
Praveen Narra
Judson Bailey
Ange Sedita
Terry B. Bonno
David Smith
