Executives
Max Yaras
Rob Bugbee
Joe Nelson
Frode Mrkedal
Eirik Haavaldsen
Operator
Kenneth Hoexter
Benjamin Nolan
Jonathan Chappell
Magnus Fyhr
Fotis Giannakoulis
Herman Hildan
Shawn Collins
Greg Lewis
Spiro Dounis
Robert Bugbee 
Charles Rupinski
Chris Snyder
Nicolay Dyvik
Benjamin Friedman
Turner Holm
Cameron Mackey
Emanuele Lauro
Sarah Hunt
Brian Lee
John Chappell
Unidentified Conference Call Participant
Douglas Mavrinac
Lars Dencker Nielsen
Randall Giveans
John Humphreys
Jon Chappell
Ben Nolan
Noah Parquette
Sean Morgan
Espen Fjermestad
Amit Mehrotra
Gregory Lewis
Chris Robertson
Liam Burke
Doug Mavrinac
Randy Giveans
Cameron MacKey
Brian Lee 
Matthias Detjen
Ken Hoexter
Lars Nielsen
Joshua Katzeff
James Doyle 
Omark Nokta
Unidentified Analyst
James Doyle
Omar Nokta
Unidentified Company Representative
Hugh Baker
Robert Bugbee
