Andrew Evan Shapiro
Paul Quinn
Unidentified Analyst 
Graeme Witts
Daniel Andres Jacome
David M. Gandossi
Sean Sauler
Sean Steuart
Paul C. Quinn
Juan Carlos Beuno
Sam McGovern
Bill Horn
Unidentified Analyst
Sean Stewart
Jeff Gates 
End of QA
Dennis Collins
Cole Hathorn
Andrew Shapiro
Bruce Klein
Hamir Patel
Operator
Marcus Campeau
Mark Friedman
Tony Graves
Kasia Kopytek
Emily Davies
Frank Duplak
Tom Bandurowski
Jimmy Lee
Bill Hoffman
Joseph Pratt
Mark Kennedy
Wes Swanson
Charan Sanghera
Juan Carlos 
John Pace
Dan Jacome
Matthew McKellar
Hemar Patel
Andrew M. Kuske
David Ure
Jason Doyle
Matt Sherwood
Juan Carlos
Samuel McGovern
David K. Ure
Unidentified Company Representative 
Richard Close
Daryl Swetlishoff
DeForest Hinman
Bill Hoffman RBC Capital Markets
David Erb
West Swanson
Richard Koos
Unknown Analyst
Richard E. Kus
Jimmy S. H. Lee
David Gandossi
Jimmy S.H. Lee
William Hoffman
Richard Kus
Roger Spitz
Austin Nelson
Andrew E. Shapiro
Amir Patel
Jeff Gates
Unknown Executive
Daniel Jacome
Adam Zirkin
Andrew Kuske
Bill H. Hoffman
David Quezada
George Berman
Anthony Young
Kasha Copetek
Joe Pratt
Howard Bryerman
