Bill Power
A Rob McEwen
Bhakti Pavani
Stewart Bailey
Heiko Ihle
Colin Sutherland
David Wright
Mark Latner
A Andrew Elinesky
Martin Tremblay
Rob McEwen 
Michael Kozak
Operator
John Tumazos
Mark Gaertner
Michael Riley
John Morain
Adam Graf
Mark Liner
Brett Reece
Howard Flinker
Mark Ehlert
Meri Verli
Tyler Bisset
Unidentified Participant
Robert Silvera
Robert McEwen
Mike Kozak
Shao Wang
Andrew Elinesky
Bill Powers
Bill Shaver
Robert Chang
Andrew Iaboni
Perry Ing
Robert Ross
Nathan Stubina
Joseph Reagor
Anna LaddKruger
John Rast
William Shaver
Rory Greyvensteyn
Adrian Blanco
Steve McGibbon
Matt Barry
Michael Meding
Patrick Retzer
Rob McEwen
Unidentified Company Participant
Segun Odunuga
Whit Tehan
Sylvain Gurard
Sylvain Guerard
Xavier Ochoa
Joe Barnes
Unidentified Analyst
Q David Wright
Bill Towers
Stephen McGibbon
Jacob Sekelsky
Unidentified Participant 
Chris Stewart
Jake Sekelsky
Unidentified Company Representative
Simon Quick
Peter Mah
