Don Detampel
Jessica Reef
Ryan Vineyard
Jason Bazinet
David Joyce
Kutgun Maral
Tuna N. Amobi
Jessica Cohen
Jason Bezenett
Mike L. McCormack
Thomas Robey
Matthew J. Harrigan
Craig Moffett
Lance W. Vitanza
Vijay A. Jayant
William F. Osbourn, Jr.
John Christopher Hodulik
Tom Rutledge 
James Ratcliffe
Amy Yong
Christopher Winfrey
Jessica Reif Ehrlich
Stefan Anninger
Thomas M. Rutledge
JonathanChaplin
Chris Winfrey 
Jeffrey Wlodarczak
Daniel Lupo
Tuna Amobi
Jonathan Chaplin 
Mike McCormack
Peter Supino
Christopher L. Winfrey
Frank Garreth Louthan
Unidentified Speaker
Bryan D. Kraft
Mike Lovett
Matthew Siegel
Tom Robey
Unidentified Analyst
CraigMoffett
PeterSupino
End of QA
Bishop Cheen
Jason Kim
Jeff Wlodarczak
Michael Rollins
Operator
Doug Mitchelson 
Jessica Reif Cohen
Vijay Jayant
Dinesh C. Jain
Denis Kelleher
Chris Win
Steven Cahall
Lance Vitanza
Benjamin Swinburne
James M. Ratcliffe
Brian Russo
Bryan Kraft
Marci Ryvicker
Philip Cusick
Alexander Sklar
Benjamin Daniel Swinburne
Laura Martin
Jeffrey D. Wlodarczak
Robert D. Marcus
Kannan Venkateshwar
Jessica Jean Reif Cohen
Will Milner
Thomas Rutledge
John Hodulik
Shing Yin
Michael McCormack
Jason B. Bazinet
Jessica Fischer
Douglas Mitchelson
Stefan Anninger 
James Maxwell Ratcliffe
John C. Hodulik
Jeffrey Duncan Wlodarczak
BryanKraft
Operators
Brett Feldman
Marci L. Ryvicker
Robert Marcus
Craig Moffett 
Michael Senno
Michael Pace
Robin Gutzler
Tom Rutledge
Thomas William Eagan
Jason Boisvert Bazinet
Philip A. Cusick
Frank Louthan
Peter Zaffino
David Carl Joyce
Scott Goldman
Jonathan Chaplin
Ben Swinburne
JasonBazinet
Shagun Singh Chadha
Phil Cusick
Chris Winfrey
Glenn Britt
VijayJayant
Frank G. Louthan
Richard Greenfield
Amy Young
Craig Eder Moffett
Richard Tullo
Michael Lovett
Rich Tullo
Douglas D. Mitchelson
Mike Pace
Philip Cusick 
Ketan Moreau
Doug Mitchelson
Michael L. McCormack
Donald F. Detampel
