Douglas M. Arthur
Kannan Venkateshwar
06WDX4E Matt Lambiase
Denise F. Warren
Craig A. Huber
Bill G. Bird
Craig Huber
Operator
Meredith Tobit Levin
Arthur O. Sulzberger
James M. Follo
Bill Bird
Andrea Passalacqua
Scott HeekinCanedy
Meredith Kopit
Harlan Toplitzky
Alexia Quadrani
James Follo
Martin Nisenholtz
Mark J. T. Thompson
Craig Anthony Huber
Roland Caputo
Alexia S. Quadrani
Harlan Toplitzky 
Mark Thompson
Jim Follo
Janet Robinson
Martin A. Nisenholtz
John Belton
John Janedis
Parris Taylor
Douglas Arthur
Douglas Middleton Arthur
William Bird
Paula Schwartz
David Karnovsky
Kennan Venkateshwar
William G. Bird
Denise Warren
Vasily Karasyov
Meredith Levien
Edward Atorino
Leo Kulp
Edward J. Atorino
Craig Huber 
Thomas Yeh
Unidentified Analyst
Doug Arthur
Unidentified Company Representative
Alexia Qudrani
Meredith Kopit Levien
Michael Golden
Westcott Rochette
Unknown Speaker
