Wayne Wang
Jenny Wu
Alex Poon
Chi Tsang
Joanna Leverage
Pu Huang
Charles Zhang
Alicia Yap
Thomas Chong 
Jiong Shao
Joanna Lv
Henry Guo
Joanna Lu
Han Joon Kim
Ningchuan Wang
George Meng
Dewen Chan
Tao Wang
Juan Lin
Chit Tsang
Yaobin Wang
Q Eddie Leung 
Julian Cheung
Unidentified Analyst
Wendy Huang
Dewen Chen
Unidentified Company Representative
Debbie Wang
Natalie Wu
Charles Zhang 
Alex Ho
Operator
Wei Tzu
Unidentified Company Speaker
Gillian Chung
Joanna Lu 
Vivian Hao
Han Kim
CharlesZhang
Xueru Zhang
Carol Yu
Mu Zhi Li
Muzhi Li
Chaoyang Zhang 
Catherine Leung
Dick Wei
AliciaYap
Alex Yao
Tip Fleming
Mi Zhou
Shi Jialong
Q Alicia Yap
Fei Fang
Zhao Ming
Ming Zhao
Philip Wan
Evan Zhou
Gary Ngan
Eric Yuan
Hillman Chan
Fang Li
Ed Leung
Alicis Yap 
A Chaoyang Zhang 
Steven Sim
Alex Young
Eddie Leung
Chun Ming
Joe Zhou
Hillman Chen
Ben Lin
Chaoyang Zhang
Ryan Roberts
ThomasChong
A Dewen Chen
Yue Wu
Xiaochuan Wang
Eddie Leong
C. Ming Zhao
Unidentified Analyst.
Dr. Charles Zhang
Xiaojian Hong
EddieLeung
Thomas Chong
Belinda Wang
Andy Yeung
Huang Pu
YuHeng Fan
Gregory Zhao
Alex Ko 
Mark Marostica
Unidentified Company Participant
Fan Liu
Chao Wang
Tianxiao Hou
Wallace Cheung
Jialong Shi
