Thibaut Mongon
Questionand
Dominic Behan
Sarah Wood
Josh Jennings 
Steve Beuchaw
Josh Jenning
Matthew J. Dodds
Anthony Butler
Alison Yang
Mike Weinstein
Danielle J. Antalffy
Derrick Sung
Kristen M. Stewart
Matthew S. Miksic
Gary Pruden
Alex Grosky
Jamie Rubin
David R. Lewis
Jamie Ruben
Unidentified Audience Member
Geoff Meacham 
Vamil Divan
Matt Dodds
Unidentified Company Representative
Rajeev Jashnani
End of QA
David H. Roman
Dominic J. Caruso
David Ryan Lewis
Michel Orsinger
Operator
Joseph Wolk
Jeff Halford
Jeff Holford
Alex Gorsky
Matthew Miksic
Matthew Dodds
Joanne Karen Wuensch
Dominic Caruso
Jami Rubin
Joanne Wuensch
Bruce Nudell
Matthew Dodd
Rick Weiss
Robert Hopkins
Louise Mehrotra.
Jayson T. Bedford
Geoffrey Meacham
Catherine J. Arnold
Jason Bedford
Chris Schott
Josh Jennings
Joe Wolk
Chris Shibutani
Bob Hopkins
Terence Flynn
Sara Michelmore
Charles Anthony Butler
Ashley McEvoy
Jennifer Taubert 
Lawrence Biegelsen
Sandra Peterson
Frederick A. Wise
Ian Sanderson
Michael Weinstein
Matt Miksic
William Hait
Glen Novarro
Ashley Mc Evoy 
Joshua Jennings
Louise Mehrotra
Danielle Telsey
Frederick Wise
Christopher Schott
Danielle Antalffy
Paul Stoffels
Christopher DelOrefice
David Risinger
Amit Hazan
Matthew Harrison
Chris Schott 
Jennifer Taubert
Matthew Stuckley
Glenn Novarro
Louise Chen
Geoff Meacham
Joaquin Duato
Sandy Peterson
Dane Leone
Robert Adam Hopkins
Glenn Navarro
Benjamin Yeoh
Michael N. Weinstein
Vik Chopra
Tony Butler
Rick Wise
Catherine Arnold
Damien Conover
Larry Biegelsen
Jessica Moore
Jennifer Mc Intyre
Jorge Mesquita
Robert A. Hopkins
Kristen Stewart
Louise Chen 
Joseph Wolk 
David Lewis
Sandi Peterson
Glenn J. Novarro
Chris DelOrefice
Glenn John Novarro
Jay Olson
Jayson Bedford
Terrence Flynn
William C. Weldon
