Anne White
Ronika Pletcher
Ronny Gal 
Susan Mahoney
Aaron Gal 
Colin N. Bristow
Andrew Baum
Jeffrey N. Simmons
A Dan Skovronsky
Tim Anderson
Mark Goodman
Umer Raffat
David R. Risinger
Derica Rice
Ari Jahja
Marc Goodman
Jan Lundberg
Enrique Conterno
Alex Arfaei
Timothy Anderson
Gregory Gilbert
John Boris
Terence Flynn 
Mark Purcell
Evan Seigerman
Jamie Rubin
Jill Thoren
Michael J. Harrington
Philip Johnson
Jacob Van Naarden
Bruce Badner
Anthony Ware
Vamil Divan
Alfonso G. Zulueta
Seamus Fernandez 
Unidentified Analyst
Eric Siemers
Unidentified Company Representative
Kevin Hearn
Gregory B. Gilbert
Salim Syed
Navin Jacob
Hima Inguva
Vineeth Agrawal
Operator
Prakhar
Jeff Holford
Kevin Hern
Anne E. White
Daniel Skovronsky
Mark Schoenebaum
Jami Rubin
Kerry Holford
Michael Mason
Josh Smiley
Andrew S. Baum
Gregg Gilbert
Stephen Scala
Dan Skovronsky
Patrik Jonsson
Colin Bristow
Dave Ricks
Dave Rick
Robyn Karnauskas
Joshua L. Smiley
Ilissa Rassner
John Lechleiter
Geoffrey Meacham
Steve Scala 
John C. Lechleiter
Catherine J. Arnold
Chris Schott
Jan M. Lundberg
Timothy Anderso
Chris Shibutani
Jeff Simmons
Terence Flynn
Richard J. Purkiss
Dr. Jan Lundberg
Charles Anthony Butler
Travis Coy
John T. Boris
Mike Harrington
David Ricks
Stephen M. Scala
Dr. Sue Mahony
Dr. Dan Skovronsky
Alice Nettleton
Christi Shaw
Carter Gould
Enrique A. Conterno
Joe Fletcher
Christopher T. Schott
A Dave Ricks
Christopher Schott
David Mirus
Company Representative
Michael Mason 
David Risinger
Anne
Geoffrey Christopher Meacham
Jason M. Gerberry
Michael DiFiore
Christi
Jake Van Naarden
Daniel M. Skovronsky
Jeffrey Simmons
Tim Anderso
Matthew Harrison
JeffSimmons
Sue Mahony
Phil Johnson
Barbara A. Ryan
Louise Chen
Geoff Meacham
Joshua Smiley
Timothy M. Anderson
Jason Gerberry
Robert Hazlett
Charles Butler
Tim Anderson 
Mark J. Schoenebaum
Levi Garraway
Jeffrey Holford
Aaron Gal
Derica W. Rice
Seamus Fernandez
Ilya Yuffa
Timothy Anderson 
Tony Butler
Kevin Hern 
Peter J. Johnson
David A. Ricks
Philip L. Johnson
Patrick Johnson
David Ricks 
Damien Conover
Catherine Arnold
Anat Ashkenazi
Jeff Meacham
Alex M. Azar II
Greg Gilbert
Mike B Mason
Steve M. Scala
Alfonso Zulueta
Geoff Meecham
Michael K. Tong
Olivia Brayer
Jay Olson
Steve Scala
Kathy Miner
Timothy Minton Anderson
Jake Van Arden
Mohit Bansal
Mike Mason
Wendy Lin
A Anat Ashkenazi
Susan Mahony
