Roger Perlmutter
Teri Loxam
Mike Nally
Roger M. Perlmutter, M.D., Ph.D.
Peter Dannenbaum
Adam H. Schechter
Colin N. Bristow
Andrew Baum
Alesandra Chen
Ronny Gal
Tim Anderson
Mark Goodman
Umer Raffat
Alison Yang
Anthony Butler
David R. Risinger
Joseph Romanelli
Marc Goodman
Alex Arfaei
Timothy Anderson
Alex Man
Kenneth C. Frazier
Gregory Gilbert
John Boris
Vamil Diwan
Thomas Chiu
Barbara Ryan
Dr. Roger Perlmutter
Carter Gould 
Evan Seigerman
Rob Davis
Franklin Clyburn
Adam Schechter
Teri Loxan
Geoff Meacham 
Daina Graybosch 
Vamil Divan
Seamus Fernandez 
Rob Davis 
Unidentified Analyst
Caroline Litchfield
Unidentified Company Representative
Gregory B. Gilbert
Daina Graybosch
End of QA
Navin Jacob
Yan Li
Andrew Baum 
Kenneth Frazier
Operator
Peter N. Kellogg
Jon Miller
Jeff Holford
Omar Saad
Mark Schoenebaum
Jami Rubin
Peter Kim
Peter Kellogg
Andrew S. Baum
Gregg Gilbert
Colin Bristow
Tori Loxam
Geoffrey Meacham
Steve Scala 
Catherine J. Arnold
Frank Clyburn 
Chris Schott
Chris Shibutani
Terence Flynn
Charles Anthony Butler
John T. Boris
Seamus C. Fernandez
Ed Carter
Carter Gould
Christopher T. Schott
Christopher Schott
Dean Li
David Risinger
Jason M. Gerberry
Roger M. Perlmutter
Robert Davis
Chris Schott 
Barbara A. Ryan
Mara Goldstein
Ken Frazier
Louise Chen
Geoff Meacham
Peter Dannenbaum 
Timothy M. Anderson
Jason Gerberry
Charles Butler
Michael Tong
Tim Anderson 
Mark J. Schoenebaum
Jeffrey Holford
Aaron Gal
Seamus Fernandez
Tony Butler
John Scotti
Kevin Ali
Robert M. Davis
Richard DeLuca
Dr. Dean Li
Joe Romanelli
Catherine Arnold
Damien Conover
Frank Clyburn
Michael Kallai Tong
Geoffrey C. Meacham
Alexander Man
Amalan R. Selvarajah
Christopher Thomas Schott
Louise Chen 
Caroline Litchfield 
Michael K. Tong
Dean Li 
Jay Olson
Steve Scala
Timothy Minton Anderson
Umer Raffat 
Mohit Bansal
Luisa Hector
Terrence Flynn
Alex Kelly
