Christine Tulloch
Tom Lesnick
Hap Steins
Michael Bilerman
Ronald Camden
Philip Martin
Jeff
Floris Van Dijkum
Nick Wibbenmeyer
Paula J. Poskon
Bruce Johnson
Craig Schmidt
Omotayo Okusanya
Greg McGinniss
Christopher R. Lucas
Andrew Leonard Rosivach
R.J. Milligan
Paul Morgan
Gaonton Gar
Greg McGinnis
Brian Hawthorne
Richard Hill 
Hap Stein
Richard Hill
Jim Sullivan
Alan Roth
Unidentified Speaker
Anthony Powell
Laura Clark
Richard C. Moore
Semi Farique
Michael Dorman
WesGolladay
Juan Sanabria
Lisa Palmer
Unidentified Analyst
Linda Tsai 
Craig Mailman
Christy Mcelroy
Unidentified Company Representative
Samir Khanal
Christopher Lucas
Operator
Lisa Palmer 
Martin E. Stein
Samit Parikh
Mike Mas
James Thompson
Michael Gorman
Michael Mueller
Vincent Tibone
Wes Golladay
Bruce M. Johnson
Ari Friedman
Todd Lukasic
Nick Yulico
Paulina Rojas Schmidt
Jay Carlington
Tao Akesanya
Michael Mas
Christine McElroy
Katy McConnell
Anthony Hau
Vincent Chao
Steve Sakwa
Vince Tibone
Tayo Okusanya
Brian Smith
Jonathan Pong
Michael Bellarmine
Tamara J. Fique
Katy Mcconnell
Jeffrey Spector
Jim Thompson
William I. Acheson
Greg Schweitzer
Mac Chandler
Chris Leavitt
Ron Kamdem
Derek Johnston
Nathan Isbee
Christy McElroy
Ronald Kamdem
Rich Hill
Tammi Fique
Andrew Rosivach
Wes Golladay 
Juan C. Sanabria
Mike Mas 
Derek Johnson
Ki Bin Kim
Floris van Dijkum
Jeremy Metz
Jay Habermann
Hong Zhang
Brian M. Smith
Rich Moore
Unknown Analyst
Collin Mings
Linda Tsai
Brian
Albert Lin
Cedrik Lachance
James W. Sullivan
Michael W. Mueller
Yasmine Kamaruddin
Chris Lucas
Quentin Velleley
Gary Jameson
Craig R. Schmidt
Thomas J. Lesnick
Jeff Donnelly
Shivani Sood
Haendel Emmanuel St. Juste
Marissa Delikoura
George Hoglund
Joseph C. Dazio
Paulina Rojas
Alan Roth 
Martin Stein
Mike Mueller
Jim Thompson 
Michael Goldsmith
Kathleen McConnell
Ross T. Nussbaum
Omotayo T. Okusanya
Jeffrey J. Donnelly
Richard Moore
