Steven Ruggiero
Michael Baker
Unknown Analyst
Richard E. Jaffe
Liz Pierce
Mark Garfinkel
Mark K. Montagna
Gregory Pendy
Rea Kaul
Nitza McKee
Tom Filandro
Peter Rabover
William Florida
Harvey Kanter
Operator
Thomas A. Filandro
Mark Nicholas Argento
Sam Poser
Jeff Unger
Bill Gordon
Sahal Laher
Mike Baker
John Kyees
Roger Feldman
Bryan Caronia
Tom A. Filandro
Bill Caton
Shelly Mokas
Eric Beder
Lee Giordano
Mike Richardson
Jeffrey Unger
David A. Levin
Chris Krueger
Glenn Krevlin
David Berman
Mark Montagna
Peter H. Stratton
Greg Pendy
PeterStratton
Thomas Filandro
 Operator
Peter Stratton 
Christopher Krueger
Dennis R. Hernreich
Peter Stratton
Jack Balos
Lee J. Giordano
Laura Champine
Alex Silverman
David Levin
Liz O. Pierce
Jeremy Hamblin
Michael Gunther
Unidentified Analyst
Raphi Savitz
Bernard Sosnick
Christina Brathwaite
Mark Daniel Garfinkel
Charles Bellows
Michael Gorman Richardson
William Zolezzi
Lisa McKee
