NelsonChai
David Dillon
RossSandler
LloydWalmsley
Masha Kahn
Brian Nowak
Jason Helfstein
DaraKhosrowshahi
JustinPatterson
Tom White
Michael Graham
Itay Michaeli
BrianNowak
Nelson Cha
Balaji Krishnamurthy 
Operator
Balaji Krishnamurthy
Brent Thill
Benjamin Black
James Lee
Mark Mahaney
MashaKahn
Eric Sheridan
John Byun
Nelson Chai
Deepak Mathivanan
Ross Sandler
Douglas Anmuth
Tony West
Heath Terry
Justin Post
JohnBlackledge
Mark May
Kahn Masha
JustinPost
Steven Fox
BradErickson
John Blackledge
YoussefSquali
Edward Yruma
Emily Reuter
JasonHelfstein
Lloyd Walmsley
Brad Erickson
Doug Anmuth
Justin Patterson
Kent Schofield
Mark Shmulik
Dara Khosrowshahi
Bradley Erickson
John Blackledge 
Jason Helfstein 
Ron Josey
HeathTerry
Unidentified Analyst
MarkMahaney
ItayMichaeli
Youssef Squali
Nikhil Devnani
Michael McGovern
Kunal Madhukar
